district,name,percent
NH-1,Leavitt,51
NH-1,Pappas,49
PA-17,Shaffer,51
PA-17,Deluzio,49
CA-27,Garcia,53
CA-27,Smith,47
NY-4,D'Esposito,48
NY-4,Gillen,52
PA-7,Scheller,54
PA-7,Wild,46
NY-22,Williams,46
NY-22,Conole,54
NY-3,Devolder-Santos,47
NY-3,Zimmerman,53
AZ-2,Crane,53
AZ-2,O'Halleran,47
NC-13,Hines,45
NC-13,Nickel,55
IA-3,Nunn,55
IA-3,Axne45
VA-2,Kiggans,43
VA-2,Luria,57
OH-13,Gilbert,58
OH-13,Sykes,42
CT-5,Logan,42
CT-5,Hayes,58
AK-1,Palin,35
AK-1,Pelota,48
NV-3,Becker,61
NV-3,Lee,39
MN-2,Kistner,37
MN-2,Craig,63
MI-3,Gibbs,38
MI-3,Scholten,62
CA-22,Valadao,39
CA-22,Salas,61
VA-7,Vega,35
VA-7,Spanberger,65
NV-4,Peters,36
NV-4,Horsford,64
OH-1,Chabot,64
OH-1,Landsman,36
NY-17,Lawler,36
NY-17,Maloney,64
IL-17,King,34
IL-17,Sorensen,66
OR-4,Skarlatos,33
OR-4,Hoyle,67
FL-13,Paulina Luna,67
FL-13,Lynn,33
ME-2,Poliquin,33
ME-2,Golden,67
PA-8,Bognet,68
PA-8,Cartwright,32
OR-5,Chavez-DeRemer,66
OR-5,McLeod-Skinner,34
TX-15,De La Cruz-Hernandez,64
TX-15,Vallejo,36
CA-13,Duarte,35
CA-13,Gray,65
NM-2,Herrell,69
NM-2,Vasquez,31
OR-6,Erickson,68
OR-6,Salinas,32
MI-8,Junge,33
MI-8,Kildee,67
NJ-7,Kean,65
NJ-7,Malinowski,55
CO-7,Aadland,32
CO-7,Pettersen,68
IL-13,Deering,37
IL-13,Budzinski,67
NY-19,Molinaro,30
NY-19,Riley,70
MI-7,Barrett,28
MI-7,Slotkin,72
MD-6,Parrott,30
MD-6,Trone,70
AZ-6,Ciscomani,71
AZ-6,Engel,29
CA-9,Patti,32
CA-9,Harder,68
WA-8,Larkin,30
WA-8,Schrier,70
FL-27,Salazar,71
FL-27,Taddeo,29
OH-9,Majewski,28
OH-9,Kaptur,72
AZ-4,Cooper,26
AZ-4,Stanton,74
CO-8,Kirkmeyer,75
CO-8,Caraveo,25
TN-5,Ogles,76
TN-5,Campbell,24
GA-2,West,19
GA-2,Bishop,81
CA-49,Maryott,19
CA-49,Levin,81
PA-10,Perry,77
PA-10,Daniels,23